time;throughput;snd_responsetime;rcv_responsetime
605;1625.0;25.2021463906;14.8510242211
606;1761.0;24.5652307221;12.9702242963
607;1167.0;36.2290651094;19.9244146266
608;1929.0;22.4456363436;12.2473600556
609;1690.0;25.8201316351;13.332960592
610;1996.0;21.5222989911;11.7801535986
611;1724.0;24.3513179373;13.6811255878
612;1781.0;23.6947952285;13.2281199584
613;1769.0;24.2890684165;13.1207724592
614;1752.0;24.4759914555;13.233411119
615;1791.0;23.6642713754;13.3256621144
616;1706.0;23.6959391388;14.4627702507
617;1730.0;24.7408607398;13.2249316515
618;1725.0;24.3570359966;13.662250241
619;1737.0;24.4815096263;13.6616332821
620;1655.0;24.2958154547;14.8106928471
621;1278.0;24.9536216785;14.4971917731
622;250.0;214.426159179;109.859458843
623;179.0;193.658697933;97.5681401345
624;2.0;10869.588895;7564.100998
625;2.0;10870.221018;10858.560635
626;2.0;10870.445233;10863.065546
627;2.0;10870.570851;10857.90981
628;2.0;10870.176717;10866.782775
629;2.0;10869.729108;10861.406907
630;2.0;10871.761714;10864.702182
631;2.0;10870.814618;10863.194938
632;2.0;10869.927669;10865.417198
633;2.0;10872.558904;10868.442502
634;523.0;297.445600754;203.352853672
635;1694.0;25.1751913515;14.2254278044
636;1584.0;25.4963252449;15.6817446854
637;1682.0;25.2425652185;13.939553454
638;1360.0;31.6163575521;16.6256638174
639;1332.0;35.8991924877;16.3955389819
640;1493.0;28.3944501546;15.8354813889
641;1641.0;24.9317476372;14.6972360699
642;1724.0;24.6852707229;13.4986643631
643;1536.0;27.3428768311;15.3357852468
644;1285.0;25.8247462097;20.9196148543
645;1691.0;25.514656675;14.7025902785
646;1721.0;23.8082845919;14.1891115748
647;1630.0;24.6243839489;14.9133533503
648;1719.0;24.3189599184;13.3930728863
649;1692.0;25.93133697;14.155089904
650;1181.0;37.5244096718;19.1004301256
651;1873.0;22.1273055975;12.7107312045
652;2048.0;20.7674018659;11.3901880433
653;2000.0;21.6462683566;11.9078533753
654;1719.0;24.6291843564;13.1174942507
655;1761.0;23.7996619473;14.0517014493
656;1692.0;24.0751649032;14.4449641984
657;1760.0;23.2414759182;13.5149003812
658;1709.0;25.1579798371;13.5664452417
659;1707.0;23.9218821923;14.2786430643
660;1690.0;25.0777009224;13.8627723882
661;1737.0;23.9453867238;13.7984930953
662;1789.0;23.8372352315;13.068404461
663;1799.0;24.2264442073;12.9732892567
664;1089.0;24.266656883;14.3298044699
665;218.0;186.634270373;119.596604881
666;78.0;296.166549667;157.45934975
667;2.0;3847.651627;3663.192563
668;2.0;3849.013122;3835.32008
669;12.0;7829.07376;3094.03973909
